title,price,city,link,bedrooms,bathrooms,sqft,address,price_per_sqft
"1B condo, locker & 4% credit assignment sale at Waterfront Communities",774000,Toronto,https://toronto.craigslist.org/tor/reo/d/downtown-toronto-1b-condo-locker-credit/7857184976.html,1.0,1.0,556.0,"Queens Quay E, Toronto, ON M5A1B4",1392.09
"1B condo, locker & 4% credit assignment sale at Waterfront Communities",774000,Toronto,https://toronto.craigslist.org/tor/reo/d/downtown-toronto-1b-condo-locker-credit/7857184794.html,1.0,1.0,556.0,"Queens Quay E, Toronto, ON M5A1B4",1392.09
Modern 2 Bed | 3 Bath Townhome with Rooftop Terrace,799888,Aurora,https://toronto.craigslist.org/yrk/reb/d/aurora-modern-bed-bath-townhome-with/7857018073.html,2.0,3.0,1337.0,"600 Alex Gardner Circle, Aurora, ON L4G3G5",598.27
450K OFF🌊 Aqualuna – Final Phase of Lakefront Luxury,3499000,Toronto,https://toronto.craigslist.org/tor/reb/d/downtown-toronto-450k-off-aqualuna/7856849907.html,2.0,5.0,2450.0,"155 Merchants' Wharf, Toronto, ON M5A0Y4",1428.16
"3 bed, 2 bath Upper Beaches Family Home - $1.479m",1479000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-bed-bath-upper-beaches-family/7856833115.html,3.0,2.0,1590.0,"Woodbine, Toronto, ON M4L3M1",930.19
Large Penthouse Condo - Sheppard Ave. & Yonge St $998k,998000,Toronto,https://toronto.craigslist.org/tor/reb/d/scarborough-large-penthouse-condo/7856473180.html,2.0,2.0,1082.0,"621 Sheppard Ave. E. #TPH10, Toronto, ON M2K0G4",922.37
East York Large Freehold Townhouse 4 BR 4 Bath,1100000,Toronto,https://toronto.craigslist.org/tor/reb/d/north-york-east-york-large-freehold/7856461527.html,4.0,4.0,2500.0,"25D Hobson Ave., Toronto, ON M4A0A4",440.0
Beautiful Home For Sale in West Kelowna Estates,935000,West Kelowna,https://toronto.craigslist.org/tor/reb/d/kelowna-west-beautiful-home-for-sale-in/7856211865.html,4.0,2.0,2031.0,"1835 Horizon Drive, West Kelowna, BC V1Z3E4",460.36
large condo for sale beside University of Toronto,940000,Toronto,https://toronto.craigslist.org/tor/reo/d/toronto-large-condo-for-sale-beside/7855822458.html,3.0,5.0,1200.0,"1001 Bay street, Toronto, ON M5S3A6",783.33
large condo for sale beside University of Toronto,940000,Toronto,https://toronto.craigslist.org/tor/reo/d/toronto-large-condo-for-sale-beside/7855196032.html,3.0,2.0,1200.0,"1001 Bay street, Toronto, ON M5S3A6",783.33
For Sale - 17 Oak Ridge Dr,2279000,Halton Hills,https://toronto.craigslist.org/tor/reb/d/glen-williams-for-sale-17-oak-ridge-dr/7855126039.html,4.0,5.0,3232.0,"Oak Ridge Drive, Halton Hills, ON L7G5G6",705.14
"💝🌟 ""Heart Meets Home"" Exclusive Toronto Condo for Sale",650000,Toronto,https://toronto.craigslist.org/tor/reo/d/downtown-toronto-heart-meets-home/7854864580.html,2.0,1.0,575.0,,1130.43
large condo for sale beside University of Toronto,940000,Toronto,https://toronto.craigslist.org/tor/reo/d/toronto-large-condo-for-sale-beside/7854366738.html,3.0,5.0,1200.0,"1001 Bay street, Toronto, ON M5S3A6",783.33
